# 20220926
# L35
# VI 1 nitrate sensor
# No averaging
# 0.01 M nitrate concentration
# ADC LDO output: 1.393 V
# June 19 reference electrode

# 1000000 loop cycles of sleep correspond roughly to an ADC sampling period of 1.5 s, or 0.67 Hz.
# 100000 loop cycles of sleep correspond roughly to an ADC sampling period of 150 ms s, or 6.67 Hz.
# 10000 loop cycles of sleep correspond roughly to an ADC sampling period of 15 ms, or 66.67 Hz.
# 1000/100 loop cycles of sleep lead to an ADC sampling rate that is too fast for the serial monitor, so we sample at the target rate, but only print the ADC output once every 10/100 ADC samples (roughly an output period of 15 ms, or 66.67 Hz).

Sampling period [loop cycles], ADC output [LSB]

# 1000000 loop cycles
100000,172
100000,165
100000,166
100000,166
100000,165
100000,169
100000,162
100000,157
100000,170
100000,155
100000,167
100000,164
100000,184
100000,165
100000,164
100000,159
100000,167
100000,166
100000,164
100000,159
100000,167
100000,167
100000,170
100000,158
100000,162
100000,159
100000,172
100000,162
100000,159
100000,167
100000,167
100000,167
100000,166
100000,166
100000,163
100000,164
100000,160
100000,159
100000,167
100000,159
100000,168
100000,159
100000,168
100000,159
100000,167
100000,172
100000,160
100000,176
100000,176
100000,159
100000,172
100000,166
100000,159
100000,164
100000,159
100000,172
100000,176
100000,159
100000,169
100000,163
100000,167
100000,165
100000,160
100000,159
100000,161
100000,160
100000,156
100000,159
100000,170
100000,168
100000,160
100000,156
100000,166
100000,159
100000,163
100000,167
100000,168
100000,160
100000,159
100000,163
100000,160
100000,159
100000,167
100000,165
100000,160
100000,165
100000,165
100000,162
100000,167
100000,167
100000,172
100000,166
100000,162
100000,163
100000,158
100000,164
100000,151
100000,159
100000,174
100000,159
100000,167
100000,165
100000,166
100000,167
100000,162
100000,159
100000,167
100000,167
100000,168
100000,158
100000,173
100000,164
100000,159
100000,176
100000,158
100000,163
100000,159
100000,168
100000,159
100000,159
100000,174
100000,166
100000,160
100000,160
100000,157
100000,184
100000,154
100000,160
100000,175
100000,180
100000,167
100000,161
100000,159
100000,188
100000,167
100000,164
100000,176
100000,159
100000,172
100000,159
100000,168
100000,160
100000,164
100000,159
100000,167
100000,172
100000,159
100000,190
100000,168
100000,160
100000,164
100000,159
100000,174
100000,163
100000,164
100000,171
100000,162
100000,180
100000,172
100000,168
100000,175
100000,172
100000,175
100000,169
100000,164
100000,159
100000,169
100000,167
100000,160
100000,157
100000,166
100000,160
100000,160
100000,159
100000,168
100000,160
100000,159
100000,168
100000,160
100000,160
100000,172
100000,168
100000,167
100000,163
100000,167
100000,160
100000,175
100000,167
100000,161
100000,168
100000,159
100000,174
100000,170
100000,165
100000,168
100000,159
100000,169
100000,176
100000,168
100000,159
100000,166
100000,168
100000,154
100000,160
100000,157
100000,167
100000,162
100000,160
100000,159
100000,170
100000,163
100000,167
100000,163
100000,160
100000,161
100000,159
100000,170
100000,158
100000,162
100000,176
100000,160
100000,160
100000,156
100000,163
100000,164
100000,160
100000,159
100000,164
100000,160
100000,175
100000,166
100000,175

# 10000 loop cycles
10000,155
10000,161
10000,154
10000,159
10000,164
10000,166
10000,160
10000,176
10000,159
10000,161
10000,156
10000,168
10000,158
10000,160
10000,156
10000,159
10000,160
10000,156
10000,159
10000,164
10000,160
10000,156
10000,157
10000,151
10000,159
10000,159
10000,160
10000,159
10000,168
10000,163
10000,155
10000,159
10000,165
10000,159
10000,168
10000,160
10000,168
10000,155
10000,157
10000,159
10000,167
10000,161
10000,159
10000,151
10000,162
10000,151
10000,159
10000,184
10000,160
10000,156
10000,165
10000,159
10000,180
10000,161
10000,159
10000,163
10000,159
10000,160
10000,153
10000,159
10000,160
10000,158
10000,163
10000,162
10000,168
10000,151
10000,159
10000,159
10000,163
10000,160
10000,159
10000,166
10000,159
10000,159
10000,159
10000,163
10000,161
10000,159
10000,164
10000,164
10000,159
10000,159
10000,162
10000,160
10000,159
10000,164
10000,155
10000,160
10000,156
10000,158
10000,162
10000,159
10000,159
10000,159
10000,160
10000,152
10000,159
10000,171
10000,166
10000,160
10000,152
10000,156
10000,159
10000,159
10000,164
10000,159
10000,166
10000,159
10000,160
10000,154
10000,160
10000,155
10000,164
10000,157
10000,164
10000,158
10000,159
10000,159
10000,163
10000,158
10000,159
10000,176
10000,158
10000,155
10000,159
10000,159
10000,166
10000,174
10000,159
10000,159
10000,159
10000,160
10000,150
10000,159
10000,163
10000,160
10000,159
10000,163
10000,159
10000,163
10000,163
10000,163
10000,157
10000,159
10000,159
10000,164
10000,159
10000,160
10000,152
10000,168
10000,159
10000,160
10000,157
10000,160
10000,159
10000,160
10000,152
10000,154
10000,172
10000,159
10000,167
10000,174
10000,165
10000,159
10000,159
10000,159
10000,183
10000,165
10000,159
10000,165
10000,159
10000,159
10000,159
10000,162
10000,159
10000,168
10000,158
10000,159
10000,159
10000,163
10000,159
10000,163
10000,159
10000,166
10000,154
10000,157
10000,160
10000,158
10000,180
10000,160
10000,159
10000,175
10000,163
10000,159
10000,164
10000,160
10000,151
10000,160
10000,170
10000,155
10000,157
10000,162
10000,160
10000,152
10000,159
10000,159
10000,159
10000,175
10000,159
10000,170
10000,163
10000,153
10000,154
10000,156
10000,158
10000,165
10000,167
10000,165
10000,161
10000,158
10000,159
10000,160
10000,152
10000,158
10000,159
10000,159
10000,159
10000,164
10000,156
10000,155
10000,165
10000,166
10000,159
10000,163
10000,159
10000,163
10000,184
10000,167
10000,164
10000,159
10000,159
10000,159
10000,159
10000,163
10000,164
10000,159
10000,167
10000,162
10000,152
10000,152
10000,159
10000,167
10000,168
10000,160
10000,155
10000,150
10000,158
10000,175
10000,168
10000,164
10000,160
10000,156
10000,168
10000,159
10000,162
10000,168
10000,159
10000,164
10000,159
10000,159
10000,159
10000,168
10000,159
10000,162
10000,159
10000,160
10000,156
10000,158
10000,164
10000,160
10000,159
10000,165
10000,159
10000,159
10000,164
10000,159
10000,164
10000,159
10000,167
10000,161
10000,152
10000,151
10000,159
10000,163
10000,159
10000,159
10000,159
10000,165
10000,159
10000,165
10000,161
10000,159
10000,165
10000,158
10000,160
10000,156
10000,159
10000,180
10000,160
10000,153
10000,157
10000,159
10000,164
10000,159
10000,170
10000,160
10000,174
10000,159
10000,166
10000,159
10000,162
10000,159
10000,167
10000,160
10000,152
10000,159
10000,166
10000,160
10000,159
10000,163
10000,172
10000,157
10000,159
10000,161
10000,159
10000,166
10000,159
10000,162
10000,152
10000,154
10000,159
10000,167
10000,163
10000,162
10000,159
10000,159
10000,160
10000,160
10000,158
10000,162
10000,160
10000,156
10000,155
10000,161
10000,155
10000,159
10000,167
10000,166
10000,159
10000,164
10000,159
10000,164
10000,157
10000,159
10000,168
10000,159
10000,175
10000,159
10000,175
10000,168
10000,158
10000,160
10000,156
10000,158
10000,160
10000,159
10000,165
10000,164
10000,159
10000,167
10000,162
10000,156
10000,159
10000,167
10000,164
10000,160
10000,158
10000,159
10000,167
10000,160
10000,152
10000,159
10000,159
10000,167
10000,175
10000,159
10000,167
10000,168
10000,162
10000,152
10000,159
10000,159
10000,163
10000,160
10000,155
10000,161
10000,159
10000,159
10000,160
10000,156
10000,159
10000,169
10000,159
10000,168
10000,176
10000,159
10000,160
10000,151
10000,159
10000,161
10000,159
10000,165
10000,159
10000,167
10000,160
10000,169
10000,165
10000,165
10000,160
10000,152
10000,168
10000,157
10000,159
10000,166
10000,160
10000,158
10000,159
10000,156
10000,159
10000,159
10000,161
10000,159
10000,159
10000,159
10000,161
10000,154
10000,159
10000,179
10000,167
10000,176
10000,158
10000,160
10000,154
10000,160
10000,159
10000,164
10000,156
10000,155
10000,159
10000,188
10000,161
10000,159
10000,167
10000,165
10000,159
10000,159
10000,161
10000,159
10000,164
10000,159
10000,163
10000,153
10000,159
10000,160
10000,152
10000,157
10000,177
10000,159
10000,163
10000,155
10000,160
10000,171
10000,168
10000,158
10000,176
10000,151
10000,159
10000,159
10000,166
10000,159
10000,159
10000,167
10000,159
10000,159
10000,160
10000,157
10000,163
10000,175
10000,168
10000,159
10000,159
10000,168
10000,161
10000,158
10000,159
10000,159
10000,164
10000,156
10000,161
10000,159
10000,160
10000,158
10000,159
10000,159
10000,159
10000,180
10000,159
10000,165
10000,160
10000,156
10000,155
10000,160
10000,153
10000,176
10000,159
10000,159
10000,165
10000,153
10000,155
10000,158
10000,160
10000,158
10000,160
10000,151
10000,159
10000,160
10000,150
10000,159
10000,159
10000,167
10000,160
10000,152
10000,156
10000,160
10000,176
10000,159
10000,168
10000,160
10000,168
10000,159
10000,188
10000,168
10000,159
10000,167
10000,161
10000,162
10000,153
10000,161
10000,159
10000,166
10000,160
10000,157
10000,155
10000,155
10000,159
10000,162
10000,159
10000,164
10000,158
10000,159
10000,163
10000,159
10000,166
10000,182
10000,167
10000,175
10000,159
10000,176
10000,159
10000,159
10000,161
10000,171
10000,160
10000,158
10000,159
10000,159
10000,163
10000,176
10000,160
10000,159
10000,159
10000,162
10000,158
10000,159
10000,154
10000,159
10000,161
10000,158
10000,159
10000,160
10000,160
10000,156
10000,180
10000,161
10000,156
10000,159
10000,155
10000,160
10000,169
10000,160
10000,168
10000,159
10000,160
10000,151
10000,159
10000,163
10000,155
10000,161
10000,154
10000,152
10000,159
10000,167
10000,167
10000,159
10000,164
10000,155
10000,160
10000,152
10000,156
10000,159
10000,167
10000,165
10000,159
10000,163
10000,158
10000,167
10000,184
10000,159
10000,168
10000,158
10000,156
10000,159
10000,168
10000,159
10000,168
10000,157
10000,158
10000,175
10000,162
10000,156
10000,156
10000,159
10000,159
10000,159
10000,159
10000,159
10000,163
10000,160
10000,163
10000,159
10000,161
10000,155
10000,159
10000,162
10000,158
10000,167
10000,160
10000,168
10000,154
10000,159
10000,161
10000,159
10000,160
10000,154
10000,156
10000,158
10000,159
10000,159
10000,159
10000,184
10000,159
10000,159
10000,159
10000,168
10000,159
10000,167
10000,162
10000,161
10000,156
10000,151
10000,159
10000,168
10000,159
10000,161
10000,156
10000,155
10000,159
10000,161
10000,159
10000,163
10000,175
10000,174
10000,174
10000,159
10000,159
10000,170
10000,159
10000,168
10000,155
10000,158
10000,156
10000,153
10000,160
10000,158
10000,164
10000,157
10000,159
10000,159
10000,166
10000,159
10000,166
10000,159
10000,163
10000,159
10000,159
10000,169
10000,159
10000,167
10000,176
10000,159
10000,159
10000,159
10000,159
10000,163
10000,166
10000,159
10000,160
10000,162
10000,154
10000,154
10000,160
10000,152
10000,159
10000,163
10000,151
10000,158
10000,159
10000,159
10000,168
10000,175
10000,167
10000,160
10000,149
10000,159
10000,167
10000,160
10000,158
10000,159
10000,159
10000,159
10000,176
10000,159
10000,165
10000,159
10000,167
10000,159
10000,159
10000,159
10000,165
10000,167
10000,167
10000,162
10000,159
10000,159
10000,159
10000,168
10000,155
10000,164
10000,155
10000,159
10000,160
10000,172
10000,162
10000,160
10000,159
10000,167
10000,159
10000,160
10000,152
10000,155
10000,168
10000,160
10000,159
10000,161
10000,156
10000,159
10000,163
10000,162
10000,159
10000,164
10000,170
10000,155
10000,164
10000,159
10000,175
10000,168
10000,159
10000,159
10000,159
10000,163
10000,157
10000,160
10000,158
10000,175
10000,163
10000,176
10000,158
10000,163
10000,160
10000,159
10000,167
10000,162
10000,152
10000,158
10000,167
10000,164
10000,159
10000,163
10000,159
10000,159
10000,165
10000,160
10000,160
10000,151
10000,164
10000,159
10000,159
10000,166
10000,160
10000,151
10000,160
10000,152
10000,158
10000,158
10000,159
10000,164
10000,160
10000,174
10000,160
10000,152
10000,156
10000,166
10000,164
10000,159
10000,166
10000,159
10000,159
10000,159
10000,180
10000,161
10000,159
10000,164
10000,153
10000,158
10000,163
10000,159
10000,165
10000,165
10000,168
10000,158
10000,165
10000,159
10000,167
10000,166
10000,163
10000,161
10000,159
10000,163
10000,159
10000,161
10000,159
10000,168
10000,160
10000,153
10000,160
10000,159
10000,166
10000,162
10000,159
10000,159
10000,162
10000,159
10000,159
10000,168
10000,159
10000,163
10000,159
10000,160
10000,158
10000,158
10000,160
10000,157
10000,165
10000,160
10000,153
10000,156
10000,159
10000,167
10000,161
10000,159
10000,163
10000,159
10000,160
10000,147
10000,157
10000,184
10000,159
10000,161
10000,159
10000,166
10000,159
10000,164
10000,159
10000,158
10000,163
10000,159
10000,166
10000,159
10000,159
10000,168
10000,162
10000,159
10000,159
10000,153
10000,159
10000,159
10000,168
10000,159
10000,166
10000,159
10000,159
10000,159
10000,167
10000,159
10000,159
10000,167
10000,160
10000,149
10000,176
10000,160
10000,159
10000,161
10000,159
10000,164
10000,159
10000,162
10000,155
10000,163
10000,160
10000,151
10000,160
10000,160
10000,158
10000,164
10000,157
10000,172
10000,167
10000,167
10000,159
10000,159
10000,166
10000,176
10000,165
10000,167
10000,167
10000,159
10000,166
10000,160
10000,159
10000,162
10000,159
10000,161
10000,156
10000,156
10000,159
10000,160
10000,157
10000,167
10000,159
10000,162
10000,153
10000,159
10000,165
10000,159
10000,160
10000,159
10000,168
10000,168
10000,161
10000,175
10000,167
10000,167
10000,160
10000,166
10000,164
10000,160
10000,159
10000,166
10000,159
10000,168
10000,159
10000,161
10000,159
10000,165
10000,159
10000,167
10000,160
10000,151
10000,159
10000,159
10000,162
10000,164
10000,160
10000,151
10000,158
10000,159
10000,167
10000,161
10000,159
10000,165
10000,161
10000,155
10000,160
10000,158
10000,161
10000,159
10000,159
10000,167
10000,159
10000,162
10000,160
10000,158
10000,168
10000,158
10000,160
10000,158
10000,160
10000,156
10000,159
10000,168
10000,158
10000,160
10000,159
10000,164
10000,159
10000,167
10000,164
10000,158
10000,159
10000,159
10000,159
10000,165
10000,166
10000,167
10000,160
10000,159
10000,159
10000,160
10000,157
10000,164
10000,159
10000,174
10000,170
10000,155
10000,163
10000,160
10000,155
10000,159
10000,169
10000,158
10000,159
10000,175
10000,164
10000,155
10000,163
10000,159
10000,164
10000,157
10000,159
10000,160
10000,158
10000,164
10000,159
10000,168
10000,156
10000,160
10000,156
10000,160
10000,159
10000,163
10000,164
10000,153
10000,154
10000,155
10000,160
10000,160
10000,159
10000,159
10000,167
10000,160
10000,159
10000,168
10000,160
10000,157
10000,159
10000,161
10000,152
10000,158
10000,160
10000,158
10000,159
10000,167
10000,159
10000,175
10000,163
10000,160
10000,160
10000,159
10000,167
10000,159
10000,159
10000,163
10000,163
10000,160
10000,158
10000,161
10000,155
10000,159
10000,166
10000,160
10000,156
10000,158
10000,161
10000,148
10000,158
10000,165
10000,175
10000,164
10000,176
10000,158
10000,159
10000,166
10000,159
10000,167
10000,160
10000,150
10000,159
10000,164
10000,164
10000,159
10000,167
10000,166
10000,160
10000,153
10000,174
10000,161
10000,160
10000,156
10000,159
10000,156
10000,159
10000,164
10000,160
10000,156
10000,160
10000,159
10000,166
10000,155
10000,160
10000,159
10000,167
10000,168
10000,155
10000,161
10000,159
10000,165
10000,162
10000,159
10000,166
10000,188
10000,162
10000,158
10000,159
10000,160
10000,157
10000,160
10000,163
10000,161
10000,159
10000,158
10000,159
10000,163
10000,159
10000,168
10000,160
10000,152
10000,157
10000,159
10000,170
10000,165
10000,162
10000,160
10000,152
10000,151
10000,158
10000,159
10000,172
10000,165
10000,162
10000,158
10000,160
10000,151
10000,178
10000,168
10000,166
10000,163
10000,161
10000,159
10000,159
10000,164
10000,160
10000,160
10000,154
10000,175
10000,161
10000,159
10000,167
10000,167
10000,168
10000,167
10000,163
10000,159
10000,184
10000,164
10000,162
10000,160
10000,155
10000,160
10000,152
10000,152
10000,159
10000,166
10000,160
10000,176
10000,159
10000,168
10000,159
10000,159
10000,166
10000,165
10000,158
10000,160
10000,159
10000,159
10000,166
10000,166
10000,165
10000,159
10000,168
10000,155
10000,159
10000,182
10000,168
10000,164
10000,159
10000,159
10000,159
10000,167
10000,163
10000,159
10000,167
10000,159
10000,163
10000,151
10000,159
10000,159
10000,167
10000,167
10000,164
10000,159
10000,159
10000,162
10000,156
10000,160
10000,152
10000,154
10000,159
10000,160
10000,167
10000,163
10000,184
10000,175
10000,172
10000,160
10000,151
10000,159
10000,160
10000,159
10000,166
10000,160
10000,155
10000,159
10000,159
10000,168
10000,162
10000,159
10000,180
10000,159
10000,163
10000,159
10000,162
10000,159
10000,168
10000,159
10000,163
10000,159
10000,164
10000,159
10000,168
10000,160
10000,155
10000,162
10000,159
10000,159
10000,163
10000,168
10000,160
10000,159
10000,163
10000,159
10000,159
10000,168
10000,159
10000,167
10000,167
10000,172
10000,159
10000,158
10000,163
10000,162
10000,160
10000,159
10000,161
10000,151
10000,159
10000,163
10000,163
10000,164
10000,159
10000,166
10000,173
10000,160
10000,174
10000,163
10000,160
10000,158
10000,162
10000,159
10000,165
10000,176
10000,159
10000,168
10000,159
10000,166
10000,151
10000,155
10000,159
10000,162
10000,158
10000,166
10000,159
10000,167
10000,162
10000,154
10000,158
10000,166
10000,163
10000,159
10000,159
10000,159
10000,161
10000,160
10000,159
10000,167
10000,162
10000,154
10000,155
10000,160
10000,159
10000,184
10000,168
10000,160
10000,151
10000,158
10000,159
10000,167
10000,164
10000,160
10000,159
10000,168
10000,158
10000,164
10000,157
10000,166
10000,160
10000,159
10000,159
10000,159
10000,161
10000,160
10000,154
10000,159
10000,163
10000,156
10000,158
10000,159
10000,163
10000,163
10000,158
10000,159
10000,178
10000,160
10000,154
10000,159
10000,161
10000,160
10000,152
10000,154
10000,170
10000,161
10000,159
10000,174
10000,172
10000,161
10000,161
10000,152
10000,157
10000,165
10000,176
10000,158
10000,184
10000,159
10000,158
10000,160
10000,155
10000,167
10000,164
10000,159
10000,160
10000,151
10000,160
10000,159
10000,165
10000,162
10000,155
10000,159
10000,159
10000,184
10000,160
10000,156
10000,152
10000,155
10000,159
10000,159
10000,162
10000,158
10000,163
10000,159
10000,168
10000,158
10000,151
10000,160
10000,159
10000,178
10000,168
10000,157
10000,159
10000,167
10000,159
10000,160
10000,159
10000,163
10000,159
10000,161
10000,155
10000,159
10000,160
10000,159
10000,165
10000,171
10000,159
10000,161
10000,151
10000,160
10000,159
10000,167
10000,159
10000,170
10000,158
10000,159
10000,167
10000,167
10000,168
10000,160
10000,151
10000,159
10000,165
10000,166
10000,164
10000,160
10000,154
10000,155
10000,156
10000,157
10000,175
10000,166
10000,160
10000,156
10000,160
10000,151
10000,159
10000,165
10000,164
10000,175
10000,167
10000,164
10000,155
10000,160
10000,159
10000,166
10000,159
10000,161
10000,151
10000,159
10000,168
10000,144
10000,159
10000,159
10000,160
10000,153
10000,158
10000,162
10000,168
10000,159
10000,168
10000,154
10000,151
10000,158
10000,159
10000,167
10000,165
10000,177
10000,160
10000,152
10000,153
10000,160
10000,154
10000,159
10000,170
10000,155
10000,159
10000,159
10000,167
10000,165
10000,164
10000,159
10000,168
10000,159
10000,159
10000,184
10000,162
10000,162
10000,160
10000,154
10000,157
10000,159
10000,160
10000,158
10000,175
10000,168
10000,159
10000,159
10000,159
10000,165
10000,165
10000,164
10000,159
10000,159
10000,163
10000,156
10000,159
10000,167
10000,168
10000,159
10000,167
10000,161
10000,155
10000,160
10000,158
10000,160
10000,159
10000,159
10000,159
10000,160
10000,158
10000,162
10000,162
10000,155
10000,165
10000,161
10000,168
10000,158
10000,163
10000,160
10000,159
10000,167
10000,164
10000,159
10000,175
10000,172
10000,161
10000,159
10000,163
10000,156
10000,159
10000,164
10000,159
10000,165
10000,160
10000,151
10000,159
10000,159
10000,165
10000,167
10000,168
10000,166
10000,159
10000,160
10000,153
10000,159
10000,166
10000,175
10000,168
10000,159
10000,159
10000,160
10000,151
10000,166
10000,155
10000,159
10000,160
10000,154
10000,156
10000,159
10000,165
10000,183
10000,164
10000,159
10000,159
10000,159
10000,167
10000,167
10000,161
10000,160
10000,159
10000,160
10000,151
10000,159
10000,177
10000,160
10000,159
10000,159
10000,159
10000,160
10000,156
10000,160
10000,151
10000,159
10000,163
10000,167
10000,160
10000,154
10000,162
10000,162
10000,159
10000,165
10000,157
10000,164
10000,159
10000,166
10000,164
10000,160
10000,159
10000,175
10000,159
10000,159
10000,167
10000,170
10000,162
10000,159
10000,160
10000,156
10000,160
10000,157
10000,165
10000,159
10000,162
10000,156
10000,159
10000,166
10000,159
10000,168
10000,162
10000,159
10000,157
10000,160
10000,153
10000,160
10000,160
10000,176
10000,160
10000,151
10000,159
10000,160
10000,156
10000,162
10000,159
10000,185
10000,160
10000,147
10000,159
10000,167
10000,175
10000,171
10000,159
10000,178
10000,152
10000,160
10000,172
10000,162
10000,160
10000,156
10000,157
10000,159
10000,164
10000,158
10000,159
10000,168
10000,159
10000,161
10000,157
10000,159
10000,168
10000,159
10000,169
10000,159
10000,176
10000,157
10000,166
10000,162
10000,160
10000,160
10000,159
10000,159
10000,160
10000,159
10000,168
10000,159
10000,168
10000,159
10000,175
10000,159
10000,162
10000,158
10000,161
10000,160
10000,152
10000,156
10000,174
10000,168
10000,159
10000,175
10000,168
10000,159
10000,164
10000,155
10000,158
10000,159
10000,168
10000,159
10000,168
10000,159
10000,159
10000,168
10000,160
10000,157
10000,159
10000,166
10000,158
10000,157
10000,160
10000,159
10000,167
10000,167
10000,160
10000,158
10000,176
10000,156
10000,160
10000,151
10000,164
10000,159
10000,159
10000,160
10000,159
10000,162
10000,159
10000,163
10000,159
10000,164
10000,152
10000,159
10000,168
10000,156
10000,160
10000,156
10000,158
10000,159
10000,184
10000,162
10000,176
10000,155
10000,163
10000,159
10000,158
10000,161
10000,160
10000,160
10000,156
10000,159
10000,164
10000,158
10000,160
10000,159
10000,164
10000,159
