# 20220920
# L35
# VI 1 nitrate sensor
# 1 Hz SCuM ADC sampling rate
# No averaging
# ADC LDO output: 1.393 V

Nitrate concentration [M], ADC output [LSB]

# 0.1 M
0.1,143
0.1,143
0.1,143
0.1,143
0.1,152
0.1,137
0.1,138
0.1,136
0.1,134
0.1,140
0.1,137
0.1,127
0.1,143
0.1,139
0.1,127
0.1,143
0.1,139
0.1,152
0.1,127
0.1,143
0.1,143
0.1,143
0.1,141
0.1,148
0.1,136
0.1,134
0.1,145
0.1,127
0.1,159
0.1,144
0.1,133
0.1,127
0.1,152
0.1,137
0.1,134
0.1,143
0.1,139
0.1,127
0.1,143
0.1,140
0.1,136
0.1,142
0.1,143
0.1,147
0.1,143
0.1,138
0.1,136
0.1,127
0.1,136
0.1,127
0.1,143
0.1,139
0.1,140
0.1,141
0.1,143
0.1,138
0.1,136
0.1,137
0.1,136
0.1,135
0.1,141
0.1,142
0.1,136
0.1,127
0.1,127
0.1,143
0.1,139
0.1,156
0.1,144
0.1,135
0.1,129
0.1,135
0.1,136
0.1,146
0.1,127
0.1,144
0.1,135
0.1,136
0.1,136
0.1,127
0.1,143
0.1,127
0.1,143
0.1,136
0.1,127
0.1,150
0.1,143
0.1,151
0.1,141
0.1,136
0.1,136
0.1,136
0.1,135
0.1,143
0.1,143
0.1,143
0.1,156
0.1,143
0.1,138
0.1,127
0.1,144
0.1,127
0.1,141
0.1,136
0.1,127
0.1,144
0.1,127
0.1,140
0.1,135
0.1,141
0.1,139
0.1,135
0.1,141
0.1,143
0.1,144
0.1,134
0.1,135
0.1,133
0.1,127
0.1,143
0.1,127
0.1,143
0.1,142
0.1,142
0.1,135
0.1,127
0.1,142
0.1,143
0.1,144
0.1,143
0.1,148
0.1,136
0.1,135
0.1,152
0.1,137
0.1,127
0.1,143
0.1,145
0.1,127
0.1,141
0.1,133
0.1,135
0.1,127
0.1,143
0.1,143
0.1,143
0.1,141
0.1,143
0.1,139
0.1,127
0.1,143
0.1,127
0.1,143
0.1,142
0.1,136
0.1,127
0.1,154
0.1,143
0.1,135
0.1,139
0.1,139
0.1,136
0.1,127
0.1,136
0.1,140
0.1,127
0.1,143
0.1,140
0.1,138
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,143
0.1,141
0.1,135
0.1,127
0.1,138
0.1,136
0.1,136
0.1,135
0.1,142
0.1,138
0.1,136
0.1,138
0.1,138
0.1,127
0.1,158
0.1,153
0.1,127
0.1,143
0.1,143
0.1,146
0.1,143
0.1,143
0.1,135
0.1,127
0.1,143
0.1,143
0.1,139
0.1,143
0.1,140
0.1,127
0.1,143
0.1,143
0.1,135
0.1,127
0.1,143
0.1,137
0.1,127
0.1,143
0.1,139
0.1,135
0.1,143
0.1,143
0.1,144
0.1,136
0.1,136
0.1,127
0.1,159
